panel,order_in_panel,assay,lloq,uloq,lod,pos.cutoff,assay_label,assay_label_short,llox_label
id50,1,pseudoneutid50_D614G,0.653,18388.48,2.612,0.653,PsV Neutralization to D614G,Pseudovirus-nAb D614G (AU/ml),lod
id50,2,pseudoneutid50_Delta,0.5224,1600.046,2.612,0.5224,PsV Neutralization to Delta,Pseudovirus-nAb Delta (AU/ml),lod
spike,1,bindSpike,5.0742,9370.615,,5.0742,Binding Antibody to Spike D614,Anti Spike IgG - Reference (AU/ml),loq
spike,2,bindSpike_Beta,5.9040,6412.008,,5.9040,Binding Antibody to Spike Beta,Anti Spike IgG - Beta (AU/ml),loq
spike,3,bindSpike_Alpha,5.1606,6843.073,,5.1606,Binding Antibody to Spike Alpha,Anti Spike IgG - Alpha (AU/ml),loq
spike,4,bindSpike_Gamma,4.5333,5433.409,,4.5333,Binding Antibody to Spike Gamma,Anti Spike IgG - Gamma (AU/ml),loq
spike,5,bindSpike_Delta1,5.5278,6900.020,,5.5278,Binding Antibody to Spike Delta AY.4.2,Anti Spike IgG - Delta AY.4.2 (AU/ml),loq
spike,6,bindSpike_Delta3,5.0346,7925.164,,5.0346,Binding Antibody to Spike Delta Alt Seq 1,Anti Spike IgG - Delta Alt Seq 1 (AU/ml),loq
spike,7,bindSpike_Delta2,6.5754,8985.413,,6.5754,Binding Antibody to Spike Delta Alt Seq 2,Anti Spike IgG - Delta Alt Seq 2 (AU/ml),loq 
spike,8,bindSpike_Omicron,5.8428,1884.779,,5.8428,Binding Antibody to Spike Omicron,Anti Spike IgG - Omicron (AU/ml),loq
