"panel","order_in_panel","assay","lloq","uloq","lod","pos.cutoff","assay_label","assay_label_short","llox_label","for_correlates"
"bindN",1,"bindN_IgG_sera",563.8,1041179.4,NA,563.8,"Serum Binding IgG Antibody to N","Anti N Serum IgG (AU/ml)","lloq",1
"bindN",2,"bindN_IgG_nasal",563.8,1041179.4,NA,563.8,"Nasal Binding IgG Antibody to N","Anti N Nasal IgG (AU/ml)","lloq",1
"bindN",3,"bindN_IgG_saliva",563.8,1041179.4,NA,563.8,"Saliva Binding IgG Antibody to N","Anti N Saliva IgG (AU/ml)","lloq",1
"bindN",4,"bindN_IgA_sera",563.8,1041179.4,NA,563.8,"Serum Binding IgA Antibody to N","Anti N Serum IgA (AU/ml)","lloq",1
"bindN",5,"bindN_IgA_nasal",563.8,1041179.4,NA,563.8,"Nasal Binding IgA Antibody to N","Anti N Nasal IgA (AU/ml)","lloq",1
"bindN",6,"bindN_IgA_saliva",563.8,1041179.4,NA,563.8,"Saliva Binding IgA Antibody to N","Anti N Saliva IgA (AU/ml)","lloq",1
"bindSpike",1,"bindSpike_IgG_sera",563.8,1041179.4,NA,563.8,"Serum Binding IgG Antibody to Spike D614","Anti Spike Serum IgG D614 (AU/ml)","lloq",1
"bindSpike",2,"bindSpike_IgG_sera_delta_AY.4",656,712445.3,NA,656,"Serum Binding IgG Antibody to Spike Delta AY.4","Anti Spike Serum IgG Delta AY.4 (AU/ml)","lloq",1
"bindSpike",3,"bindSpike_IgG_sera_BA.5",573.4,760341.5,NA,573.4,"Serum Binding IgG Antibody to Spike BA.5","Anti Spike Serum IgG BA.5 (AU/ml)","lloq",1
"bindSpike",4,"bindSpike_IgG_sera_BA.2.86",503.7,603712.1,NA,503.7,"Serum Binding IgG Antibody to Spike BA.2.86","Anti Spike Serum IgG BA.2.86 (AU/ml)","lloq",1
"bindSpike",5,"bindSpike_IgG_sera_XBB.1.5",614.2,766668.9,NA,614.2,"Serum Binding IgG Antibody to Spike XBB.1.5","Anti Spike Serum IgG XBB.1.5 (AU/ml)","lloq",1
"bindSpike",6,"bindSpike_IgG_sera_JN.1",559.4,880573.8,NA,559.4,"Serum Binding IgG Antibody to Spike JN.1","Anti Spike Serum IgG Delta-B.1.617.2 (AU/ml)","lloq",1
"bindSpike",7,"bindSpike_IgG_sera_KP.2",730.6,998379.2,NA,730.6,"Serum Binding IgG Antibody to Spike KP.2","Anti Spike Serum IgG KP.2 (AU/ml)","lloq",1
"bindSpike",8,"bindSpike_IgG_sera_KP.3",649.2,209419.9,NA,649.2,"Serum Binding IgG Antibody to Spike KP.3","Anti Spike Serum IgG KP.3 (AU/ml)","lloq",1
"bindSpike",9,"bindSpike_IgG_sera_LB.1",649.2,209419.9,NA,649.2,"Serum Binding IgG Antibody to Spike LB.1","Anti Spike Serum IgG LB.1 (AU/ml)","lloq",1
"bindSpike",10,"bindSpike_IgG_sera_mdw",0,Inf,NA,0,"Serum Binding IgG Antibody to Spike crossreactivity score","Anti Spike Serum IgG crossreactivity score","lloq",1
"bindSpike",11,"bindSpike_IgG_nasal",563.8,1041179.4,NA,563.8,"Nasal Binding IgG Antibody to Spike D614","Anti Spike Nasal IgG D614 (AU/ml)","lloq",1
"bindSpike",12,"bindSpike_IgG_nasal_delta_AY.4",656,712445.3,NA,656,"Nasal Binding IgG Antibody to Spike Delta AY.4","Anti Spike Nasal IgG Delta AY.4 (AU/ml)","lloq",1
