panel,order_in_panel,assay,lloq,uloq,lod,pos.cutoff,assay_label,assay_label_short,llox_label,for_correlates,trunc
bind_IgG_sera,1,bindSpike_IgG_sera,420,692599,NA,420,Serum Binding IgG Antibody to Spike Index,Serum IgG Spike Index (AU/ml),lloq,1,NA
bind_IgG_sera,2,bindSpike_IgG_sera_delta_AY.4,740,486991,NA,740,Serum Binding IgG Antibody to Spike Delta AY.4,Serum IgG Spike Delta AY.4 (AU/ml),lloq,1,NA
bind_IgG_sera,3,bindSpike_IgG_sera_BA.5,525,305169,NA,525,Serum Binding IgG Antibody to Spike BA.5,Serum IgG Spike BA.5 (AU/ml),lloq,1,NA
bind_IgG_sera,4,bindSpike_IgG_sera_BA.2.86,690,371214,NA,690,Serum Binding IgG Antibody to Spike BA.2.86,Serum IgG Spike BA.2.86 (AU/ml),lloq,1,NA
bind_IgG_sera,5,bindSpike_IgG_sera_XBB.1.5,875,366762,NA,875,Serum Binding IgG Antibody to Spike XBB.1.5,Serum IgG Spike XBB.1.5 (AU/ml),lloq,1,NA
bind_IgG_sera,6,bindSpike_IgG_sera_JN.1,665,370831,NA,665,Serum Binding IgG Antibody to Spike JN.1,Serum IgG Spike JN.1 (AU/ml),lloq,1,NA
bind_IgG_sera,7,bindSpike_IgG_sera_KP.2,615,382728,NA,615,Serum Binding IgG Antibody to Spike KP.2,Serum IgG Spike KP.2 (AU/ml),lloq,1,NA
bind_IgG_sera,8,bindSpike_IgG_sera_KP.3,570,362655,NA,570,Serum Binding IgG Antibody to Spike KP.3,Serum IgG Spike KP.3 (AU/ml),lloq,1,NA
bind_IgG_sera,9,bindSpike_IgG_sera_LB.1,465,290681,NA,465,Serum Binding IgG Antibody to Spike LB.1,Serum IgG Spike LB.1 (AU/ml),lloq,1,NA
bind_IgG_sera,10,bindSpike_IgG_sera_mdw,0,Inf,NA,0,Serum Binding IgG Antibody to Spike crossreactivity score,Serum IgG Spike crossreactivity score,lloq,1,NA
bind_IgG_sera,11,bindN_IgG_sera,725,1006443,NA,725,Serum Binding IgG Antibody to N Index,Serum IgG N Index (AU/ml),lloq,1,NA
bind_IgA_sera,1,bindSpike_IgA_sera,144,145270,NA,144,Serum Binding IgA Antibody to Spike D614,Serum IgA Spike D614 (AU/ml),lloq,1,NA
bind_IgA_sera,2,bindSpike_IgA_sera_delta_AY.4,209,160708,NA,209,Serum Binding IgA Antibody to Spike Delta AY.4,Serum IgA Spike Delta AY.4 (AU/ml),lloq,1,NA
bind_IgA_sera,3,bindSpike_IgA_sera_BA.5,104,104376,NA,104,Serum Binding IgA Antibody to Spike BA.5,Serum IgA Spike BA.5 (AU/ml),lloq,1,NA
bind_IgA_sera,4,bindSpike_IgA_sera_BA.2.86,86,87398,NA,86,Serum Binding IgA Antibody to Spike BA.2.86,Serum IgA Spike BA.2.86 (AU/ml),lloq,1,NA
bind_IgA_sera,5,bindSpike_IgA_sera_XBB.1.5,43,73109,NA,43,Serum Binding IgA Antibody to Spike XBB.1.5,Serum IgA Spike XBB.1.5 (AU/ml),lloq,1,NA
bind_IgA_sera,6,bindSpike_IgA_sera_JN.1,72,82089,NA,72,Serum Binding IgA Antibody to Spike JN.1,Serum IgA Spike JN.1 (AU/ml),lloq,1,NA
bind_IgA_sera,7,bindSpike_IgA_sera_KP.2,35,69668,NA,35,Serum Binding IgA Antibody to Spike KP.2,Serum IgA Spike KP.2 (AU/ml),lloq,1,NA
bind_IgA_sera,8,bindSpike_IgA_sera_KP.3,34,73020,NA,34,Serum Binding IgA Antibody to Spike KP.3,Serum IgA Spike KP.3 (AU/ml),lloq,1,NA
bind_IgA_sera,9,bindSpike_IgA_sera_LB.1,30,64593,NA,30,Serum Binding IgA Antibody to Spike LB.1,Serum IgA Spike LB.1 (AU/ml),lloq,1,NA
bind_IgA_sera,10,bindSpike_IgA_sera_mdw,0,Inf,NA,0,Serum Binding IgA Antibody to Spike crossreactivity score,Serum IgA Spike crossreactivity score,lloq,1,NA
bind_IgA_sera,11,bindN_IgA_sera,40,2949,NA,40,Serum Binding IgA Antibody to N Index,Serum IgA N Index (AU/ml),lloq,1,NA
bind_IgG_nasal,1,bindSpike_IgG_nasal,8.2,12469.4,NA,8.2,Nasal Binding IgG Antibody to Spike Index,Nasal IgG Spike Index (AU/ml),lloq,1,NA
bind_IgG_nasal,2,bindSpike_IgG_nasal_delta_AY.4,8.3,12571.6,NA,8.3,Nasal Binding IgG Antibody to Spike Delta AY.4,Nasal IgG Spike Delta AY.4 (AU/ml),lloq,1,NA
bind_IgG_nasal,3,bindSpike_IgG_nasal_BA.5,3.2,4105.7,NA,3.2,Nasal Binding IgG Antibody to Spike BA.5,Nasal IgG Spike BA.5 (AU/ml),lloq,1,NA
bind_IgG_nasal,4,bindSpike_IgG_nasal_BA.2.86,2.2,3339.1,NA,2.2,Nasal Binding IgG Antibody to Spike BA.2.86,Nasal IgG Spike BA.2.86 (AU/ml),lloq,1,NA
bind_IgG_nasal,5,bindSpike_IgG_nasal_XBB.1.5,4.2,6353.8,NA,4.2,Nasal Binding IgG Antibody to Spike XBB.1.5,Nasal IgG Spike XBB.1.5 (AU/ml),lloq,1,NA
