"","varset","AUCstr"
"1","13_M7ADCC","0.626 [0.525, 0.728]"
"2","20_M7_2_13","0.619 [0.518, 0.721]"
"3","23_M7_3_13","0.618 [0.516, 0.720]"
"4","29_M7_2_3_13","0.618 [0.516, 0.720]"
"5","25_M7_4_13","0.616 [0.515, 0.718]"
"6","10_M7IgG3_breadthScore","0.613 [0.508, 0.717]"
"7","31_M7_3_4_13","0.612 [0.510, 0.713]"
"8","34_M7_2_3_4_13","0.612 [0.510, 0.713]"
"9","14_M7_combPrimaryMarkers","0.608 [0.502, 0.714]"
"10","11_M7IgG3_multi","0.607 [0.501, 0.713]"
"11","9_M7IgG3_gp41","0.606 [0.498, 0.715]"
"12","1_baselineFactors","0.605 [0.499, 0.710]"
"13","6_M7IgG3_gp140","0.605 [0.498, 0.711]"
"14","7_M7IgG3_gp120","0.605 [0.498, 0.711]"
"15","4_M7ADCP","0.604 [0.499, 0.710]"
"16","16_M7_overallScore","0.604 [0.497, 0.711]"
"17","2_M7ELISA","0.604 [0.497, 0.711]"
"18","3_M7Tcells","0.602 [0.495, 0.709]"
"19","17_M7_2_3","0.602 [0.495, 0.709]"
"20","15_M7_combAllMarkers","0.600 [0.494, 0.706]"
"21","18_M7_2_4","0.599 [0.493, 0.705]"
"22","8_M7IgG3_V1V2","0.599 [0.494, 0.704]"
"23","21_M7_3_4","0.599 [0.491, 0.706]"
"24","27_M7_2_3_4","0.597 [0.491, 0.704]"
"25","26_M7_5_12_13","0.597 [0.494, 0.700]"
"26","12_M7IgGt_V1V2","0.593 [0.484, 0.702]"
"27","32_M7_4_5_12_13","0.592 [0.490, 0.695]"
"28","5_M7IgG3","0.591 [0.484, 0.698]"
"29","35_M7_3_4_5_12_13","0.589 [0.486, 0.693]"
"30","36_M7_2_3_4_5_12_13","0.588 [0.485, 0.692]"
"31","19_M7_2_5_12","0.577 [0.469, 0.686]"
"32","22_M7_3_5_12","0.576 [0.468, 0.684]"
"33","28_M7_2_3_5_12","0.575 [0.466, 0.684]"
"34","24_M7_4_5_12","0.573 [0.466, 0.681]"
"35","30_M7_3_4_5_12","0.571 [0.462, 0.679]"
"36","33_M7_2_3_4_5_12","0.570 [0.462, 0.678]"
