"","varset_no","varset_names"
"1",1,"1_baselineFactors"
"2",2,"2_M7ELISA"
"3",3,"3_M7Tcells"
"4",4,"4_M7ADCP"
"5",5,"5_M7IgG3"
"6",6,"6_M7IgG3_gp140"
"7",7,"7_M7IgG3_gp120"
"8",8,"8_M7IgG3_V1V2"
"9",9,"9_M7IgG3_gp41"
"10",10,"10_M7IgG3_breadthScore"
"11",11,"11_M7IgG3_multi"
"12",12,"12_M7IgGt_V1V2"
"13",13,"13_M7ADCC"
"14",14,"14_M7_combPrimaryMarkers"
"15",15,"15_M7_combAllMarkers"
"16",16,"16_M7_overallScore"
"17",17,"17_M7_2_3"
"18",18,"18_M7_2_4"
"19",19,"19_M7_2_5_12"
"20",20,"20_M7_2_13"
"21",21,"21_M7_3_4"
"22",22,"22_M7_3_5_12"
"23",23,"23_M7_3_13"
"24",24,"24_M7_4_5_12"
"25",25,"25_M7_4_13"
"26",26,"26_M7_5_12_13"
"27",27,"27_M7_2_3_4"
"28",28,"28_M7_2_3_5_12"
"29",29,"29_M7_2_3_13"
"30",30,"30_M7_3_4_5_12"
"31",31,"31_M7_3_4_13"
"32",32,"32_M7_4_5_12_13"
"33",33,"33_M7_2_3_4_5_12"
"34",34,"34_M7_2_3_4_13"
"35",35,"35_M7_3_4_5_12_13"
"36",36,"36_M7_2_3_4_5_12_13"
"37",37,"Day210ELCZ"
"38",38,"Day210ELMo"
"39",39,"Day210ELISpotPTEEnv"
"40",40,"Day210ADCPgp140C97ZAfib"
"41",41,"Day210ADCPgp140Mos1fib"
"42",42,"Day210IgG3gp140C97ZAfibritin40delta"
"43",43,"Day210IgG3gp140Mos1fibritin40delta"
"44",44,"Day210IgG340mdw_gp120"
"45",45,"Day210IgG340mdw_gp140"
"46",46,"Day210IgG340mdw_V1V2"
"47",47,"Day210IgG3gp4140delta"
"48",48,"Day210IgG340mdw_multi"
"49",49,"Day210IgG340mdw_gp120_gp140_vm"
"50",50,"Day210IgG50mdw_V1V2"
"51",51,"Day210mdw_xassay"
"52",52,"Day210ADCCCAP8_pk"
"53",53,"Day210ADCCCH58_pk"
"54",54,"Day210ADCCWITO_pk"
"55",55,"Day210ADCCCAP8_pAUC"
"56",56,"Day210ADCCCH58_pAUC"
"57",57,"Day210ADCCWITO_pAUC"
"58",58,"Day210ICS4AnyEnvIFNg_OR_IL2"
"59",59,"Day210ICS8AnyEnvIFNg_OR_IL2"
"60",60,"Day210mdw_xassay_overall"
"61",61,"Day210IgG3AE.A244.V1V2.Tags_293F40delta"
"62",62,"Day210IgG3C.1086C.V1.V2.Tags40delta"
"63",63,"Day210IgG3gp70.001428.2.42.V1V240delta"
"64",64,"Day210IgG3gp70.1012.11.TC21.3257.V1V240delta"
"65",65,"Day210IgG3gp70.1394C9G1.V1V240delta"
"66",66,"Day210IgG3gp70.BF1266.431a.V1V240delta"
"67",67,"Day210IgG3gp70.Ce1086.B2.V1V240delta"
"68",68,"Day210IgG3gp70.B.CaseA.V1.V240delta"
"69",69,"Day210IgGAE.A244.V1V2.Tags_293F50delta"
"70",70,"Day210IgGC.1086C.V1.V2.Tags50delta"
"71",71,"Day210IgGgp70_001428.2.42.V1V250delta"
"72",72,"Day210IgGgp70_1012.11.TC21.3257.V1V250delta"
"73",73,"Day210IgGgp70_1394C9G1.V1V250delta"
"74",74,"Day210IgGgp70_9004SS.A3.4.V1V250delta"
"75",75,"Day210IgGgp70_BF1266.431a.V1V250delta"
"76",76,"Day210IgGgp70_Ce1086.B2.V1V250delta"
"77",77,"Day210IgGgp70.B.CaseA.V1.V250delta"
"78",78,"comb_PC1_prim"
"79",79,"comb_PC2_prim"
"80",80,"comb_maxsig.div.score_prim"
"81",81,"comb_PC1_all"
"82",82,"comb_PC2_all"
"83",83,"comb_maxsig.div.score_all"
"84",84,"comb_nlPCA1_prim"
"85",85,"comb_nlPCA2_prim"
"86",86,"comb_nlPCA1_all"
"87",87,"comb_nlPCA2_all"
