"","Variable.Set.Name","Variables.included.in.the.set"
"1","1_baselineFactors","Baseline Factors South Africa, Age, BMI, Behavioral risk score"
"2","2_M7ELISA","1.+M7 ELISA ELISA markers ELISA VT-C and ELISA VT-M controlling for baseline factors (Cont-base)"
"3","3_M7Tcells","1.+M7 T cells ELISpot PTE Env, CD4/CD8 T cells Cont-base"
"4","4_M7ADCP","1.+M7 ADCP ADCP markers ADCP C97ZA, ADCP Mosaic Cont-base"
"5","5_M7IgG3","1.+M7 IgG3 All BAMA IgG3 markers Cont-base"
"6","6_M7IgG3_gp140","1.+M7 IgG3 gp140 All BAMA IgG3 gp140 markers Cont-base"
"7","7_M7IgG3_gp120","1.+M7 IgG3 gp120 All BAMA IgG3 gp120 markers Cont-base"
"8","8_M7IgG3_V1V2","1.+M7 IgG3 V1V2 All BAMA IgG3 V1V2 markers Cont-base"
"9","9_M7IgG3_gp41","1.+M7 IgG3 gp41 All BAMA IgG3 gp41 markers Cont-base"
"10","10_M7IgG3_breadthScore","1.+M7 IgG3 breadth scores All BAMA antigen-specific breadth scores Cont-base"
"11","11_M7IgG3_multi","1.+M7 IgG3 Multi-epitope breadth BAMA IgG3 multi-epitope cross-reactivity score Cont-base"
"12","12_M7IgGt_V1V2","1.+M7 IgGt V1V2 All BAMA IgG V1V2 markers Cont-base"
"13","13_M7ADCC","1.+M7 ADCC All ADCC markers Cont-base"
"14","14_M7_combPrimaryMarkers","1.+M7 comb scores over primary markers All combination scores derived over the 6 primary markers [PCA1, PCA2, FSDAM1/FSDAM2 (the first two components of nonlinear PCA), and the maximum signal diversity
                                                          score He and Fong (2019)]"
"15","15_M7_combAllMarkers","1.+M7 comb scores over all markers All combination scores derived over all markers [PCA1, PCA2, FSDAM1/FSDAM2, and max.sig.div.score]."
"16","16_M7_overallScore","1.+M7 Overall scores across assays Two overall combined scores Cont-base"
"17","17_M7_2_3","1.+2.+3. Do ELISA + T cells together improve classification?"
"18","18_M7_2_4","1.+2.+4. Do ELISA + ADCP together improve classification?"
"19","19_M7_2_5_12","1.+2.+5.+12. Do ELISA + IgG3/IgGt together improve classification?"
"20","20_M7_2_13","1.+2.+13. Do ELISA + ADCC together improve classification?"
"21","21_M7_3_4","1.+3.+4. Do T cells + ADCP together improve classification?"
"22","22_M7_3_5_12","1.+3.+5.+12. Do T cells + IgG3/IgGt together improve classification?"
"23","23_M7_3_13","1.+3.+13. Do T cells + ADCC together improve classification?"
"24","24_M7_4_5_12","1.+4.+5.+12. Do ADCP + IgG3/IgGt together improve classification?"
"25","25_M7_4_13","1.+4.+13. Do ADCP + ADCC together improve classification?"
"26","26_M7_5_12_13","1.+5.+12.+13. Do IgG3/IgGt + ADCC together improve classification?"
"27","27_M7_2_3_4","1.+2.+3.+4. Do ELISA + T cells + ADCP together improve classification?"
"28","28_M7_2_3_5_12","1.+2+3.+5.+12. Do ELISA + T cells + IgG3/IgGt together improve classification?"
"29","29_M7_2_3_13","1.+2+3.+13. Do ELISA + T cells + ADCC together improve classification?"
"30","30_M7_3_4_5_12","1.+3.+4.+5.+12. Do T cells + ADCP + IgG3/IgGt together improve classification?"
"31","31_M7_3_4_13","1.+3.+4.+13. Do T cells + ADCP + ADCC together improve classification?"
"32","32_M7_4_5_12_13","1.+4.+5.+12.+13. Do ADCP + IgG3/IgGt + ADCC together improve classification?"
"33","33_M7_2_3_4_5_12","1.+2.+3.+4.+5.+12. Do ELISA + T cells + ADCP + IgG3/IgGt together improve classification?"
"34","34_M7_2_3_4_13","1.+2.+3.+4.+13. Do ELISA + T cells + ADCP + ADCC together improve classification?"
"35","35_M7_3_4_5_12_13","1.+3.+4.+5.+12.+13. Do T cells + ADCP + IgG3/IgGt + ADCC together improve classification?"
"36","36_M7_2_3_4_5_12_13","1.+2.+3.+4.+5.+12.+13. (All) Do all the immune marker sets together improve classification?"
