"","varset","AUCstr"
"1","27_pnabID80_D29_D57","0.710 [0.628, 0.792]"
"2","34_allMarkers_combScores_D29_D57","0.710 [0.628, 0.792]"
"3","33_allMarkers_D29_D57","0.710 [0.628, 0.792]"
"4","30_bAb_pnabID80_D29_D57","0.709 [0.628, 0.791]"
"5","26_pnabID50_D29_D57","0.700 [0.617, 0.782]"
"6","29_bAb_pnabID50_D29_D57","0.699 [0.617, 0.781]"
"7","4_pnabID50_D57","0.699 [0.619, 0.779]"
"8","16_pnabID80_D29","0.694 [0.614, 0.774]"
"9","19_bAb_pnabID80_D29","0.693 [0.613, 0.774]"
"10","12_allMarkers_combScores_D57","0.691 [0.608, 0.775]"
"11","22_allMarkers_D29","0.689 [0.608, 0.770]"
"12","23_allMarkers_combScores_D29","0.689 [0.607, 0.771]"
"13","10_bAb_combScores_D57","0.689 [0.605, 0.772]"
"14","7_bAb_pnabID50_D57","0.686 [0.609, 0.763]"
"15","11_allMarkers_D57","0.684 [0.605, 0.763]"
"16","8_bAb_pnabID80_D57","0.681 [0.603, 0.759]"
"17","5_pnabID80_D57","0.679 [0.603, 0.756]"
"18","2_bAbSpike_D57","0.678 [0.595, 0.761]"
"19","32_bAb_combScores_D29_D57","0.678 [0.595, 0.760]"
"20","15_pnabID50_D29","0.676 [0.595, 0.757]"
"21","18_bAb_pnabID50_D29","0.675 [0.592, 0.757]"
"22","24_bAbSpike_D29_D57","0.673 [0.595, 0.751]"
"23","9_bAb_lnabMN50_D57","0.673 [0.600, 0.746]"
"24","3_bAbRBD_D57","0.672 [0.600, 0.745]"
"25","25_bAbRBD_D29_D57","0.663 [0.586, 0.741]"
"26","31_bAb_lnabMN50_D29_D57","0.655 [0.577, 0.733]"
"27","13_bAbSpike_D29","0.653 [0.575, 0.731]"
"28","21_bAb_combScores_D29","0.648 [0.565, 0.730]"
"29","20_bAb_lnabMN50_D29","0.647 [0.557, 0.737]"
"30","14_bAbRBD_D29","0.642 [0.559, 0.726]"
"31","6_lnabMN50_D57","0.631 [0.555, 0.708]"
"32","28_lnabMN50_D29_D57","0.622 [0.542, 0.701]"
"33","1_baselineRiskFactors","0.618 [0.552, 0.684]"
"34","17_lnabMN50_D29","0.617 [0.536, 0.698]"
