"","varset","AUCstr"
"1","27_pnabID80_D29_D57","0.623 [0.526, 0.720]"
"2","12_allMarkers_combScores_D57","0.622 [0.525, 0.718]"
"3","4_pnabID50_D57","0.611 [0.521, 0.702]"
"4","34_allMarkers_combScores_D29_D57","0.610 [0.516, 0.703]"
"5","30_bAb_pnabID80_D29_D57","0.609 [0.516, 0.702]"
"6","33_allMarkers_D29_D57","0.605 [0.510, 0.700]"
"7","16_pnabID80_D29","0.603 [0.512, 0.694]"
"8","5_pnabID80_D57","0.600 [0.506, 0.693]"
"9","10_bAb_combScores_D57","0.599 [0.506, 0.692]"
"10","11_allMarkers_D57","0.596 [0.500, 0.692]"
"11","25_bAbRBD_D29_D57","0.595 [0.498, 0.691]"
"12","2_bAbSpike_D57","0.594 [0.508, 0.681]"
"13","8_bAb_pnabID80_D57","0.594 [0.500, 0.688]"
"14","24_bAbSpike_D29_D57","0.584 [0.491, 0.677]"
"15","19_bAb_pnabID80_D29","0.582 [0.485, 0.678]"
"16","29_bAb_pnabID50_D29_D57","0.576 [0.482, 0.669]"
"17","32_bAb_combScores_D29_D57","0.573 [0.479, 0.668]"
"18","20_bAb_lnabMN50_D29","0.572 [0.471, 0.673]"
"19","7_bAb_pnabID50_D57","0.572 [0.476, 0.668]"
"20","22_allMarkers_D29","0.571 [0.481, 0.661]"
"21","9_bAb_lnabMN50_D57","0.571 [0.479, 0.663]"
"22","14_bAbRBD_D29","0.566 [0.466, 0.665]"
"23","26_pnabID50_D29_D57","0.562 [0.469, 0.655]"
"24","31_bAb_lnabMN50_D29_D57","0.560 [0.466, 0.654]"
"25","15_pnabID50_D29","0.560 [0.471, 0.649]"
"26","13_bAbSpike_D29","0.552 [0.454, 0.651]"
"27","23_allMarkers_combScores_D29","0.552 [0.462, 0.642]"
"28","18_bAb_pnabID50_D29","0.545 [0.450, 0.639]"
"29","1_baselineRiskFactors","0.537 [0.446, 0.628]"
"30","3_bAbRBD_D57","0.524 [0.435, 0.613]"
"31","6_lnabMN50_D57","0.523 [0.432, 0.614]"
"32","21_bAb_combScores_D29","0.496 [0.402, 0.590]"
"33","17_lnabMN50_D29","0.484 [0.391, 0.577]"
"34","28_lnabMN50_D29_D57","0.464 [0.370, 0.557]"
