"","variable_set","s","group","quantity","est","se","ci_ll","ci_ul","pval"
"1","2_bAbSpike_D57","4,5,26,27,28,35,36",TRUE,"VIM",0.0300583218393305,0.0187912099673829,0,0.0668884166013311,0.0548442508627036
"2","3_bAbRBD_D57","4,5,6,7,8,9,10,11,12",TRUE,"VIM",0.0244485814509825,0.018385240995161,0,0.0604829916485873,0.0917930920336367
"3","4_pnabID50_D57","4,5,6,7,8,9,10,11,12,26,27,28,35,36",TRUE,"VIM",0.0506987304106685,0.0187435452517998,0.0139620567745443,0.0874354040467928,0.00341662364766682
"4","5_pnabID80_D57","13",FALSE,"VIM",0,0.0181177020438382,0,0.0355100434885505,0.571512978828379
"5","6_lnabMN50_D57","14,15,16",TRUE,"VIM",0,0.01891465975447,0,0.0370720518985905,0.651368069408177
"6","7_bAb_pnabID50_D57","17,18,19",TRUE,"VIM",0.00979196861074483,0.019070844807593,0,0.0471701375883797,0.303817494131436
"7","8_bAb_pnabID80_D57","20,21,22",TRUE,"VIM",0.0314888303587939,0.0189881870668737,0,0.0687049931415756,0.0486246411464567
"8","9_bAb_lnabMN50_D57","23,24,25",TRUE,"VIM",0,0.0187984356467499,0,0.0368442568333237,0.99048962244669
"9","10_bAb_combScores_D57","13,14,15,16,17,18,19",TRUE,"VIM",0.00699437609647302,0.0193346581898811,0,0.0448896098020323,0.358768202460438
"10","11_allMarkers_D57","13,14,15,16,20,21,22",TRUE,"VIM",0.0268043183707989,0.0191329245608206,0,0.0643041614289291,0.0806141398677246
"11","12_allMarkers_combScores_D57","4",FALSE,"VIM",0.0209836371393036,0.0184987232316378,0,0.0572404684332881,0.128328296780583
"12","13_bAbSpike_D29","13,14,15,16,23,24,25",TRUE,"VIM",0.0043979389444313,0.0192330073301892,0,0.042093940625997,0.40956417870384
"13","14_bAbRBD_D29","13,14,15,16,29,30,31,37,38",TRUE,"VIM",0,0.0187775675932733,0,0.0368033562000821,0.822442087900624
"14","15_pnabID50_D29","13,14,15,16,17,18,19,20,21,22,23,24,25",TRUE,"VIM",0.0227760175498497,0.0193069281106052,0,0.0606169012987398,0.119063543444282
"15","16_pnabID80_D29","13,14,15,16,17,18,19,20,21,22,23,24,25,29,30,31,37,38",TRUE,"VIM",0.0201378091947254,0.0192204154728242,0,0.0578091312893572,0.147381471314709
"16","17_lnabMN50_D29","4,13",TRUE,"VIM",0.0105454442986795,0.0182671258002254,0,0.0463483529681837,0.281871502078233
"17","18_bAb_pnabID50_D29","5,14,15,16",TRUE,"VIM",0.00381172161743382,0.0180929279844121,0,0.0392732088417583,0.416570571024103
"18","19_bAb_pnabID80_D29","6,7,8,17,18,19",TRUE,"VIM",0.0374687585762629,0.0194289263198755,0,0.0755487544215012,0.0268962449402003
"19","20_bAb_lnabMN50_D29","9,10,20,21,22",TRUE,"VIM",0.047351611911804,0.019346256252109,0.00943364642198759,0.0852695774016205,0.0071908544369329
"20","21_bAb_combScores_D29","11,12,23,24,25",TRUE,"VIM",0,0.0184534604064284,0,0.0361681177867355,0.987063882299329
"21","22_allMarkers_D29","4,5,6,7,8,13,14,15,16,17,18,19",TRUE,"VIM",0.0303446186230265,0.0192323525704588,0,0.0680393369991021,0.0573069007276773
