"","variable_set","s","group","quantity","est","se","ci_ll","ci_ul","pval"
"1","2_bAbSpike_D57","4,5,26,27,28,35,36",TRUE,"Predictiveness",0.669835757207862,0.0523601395121407,0.567211769538573,0.77245974487715,NA
"2","3_bAbRBD_D57","4,5,6,7,8,9,10,11,12",TRUE,"Predictiveness",0.664226016819514,0.0514092092704879,0.563465818175675,0.764986215463352,NA
"3","4_pnabID50_D57","4,5,6,7,8,9,10,11,12,26,27,28,35,36",TRUE,"Predictiveness",0.6904761657792,0.0509966881905009,0.590524493594999,0.7904278379634,NA
"4","5_pnabID80_D57","13",FALSE,"Predictiveness",0.6365121288923,0.0496525073740878,0.539195002696979,0.733829255087622,NA
"5","6_lnabMN50_D57","14,15,16",TRUE,"Predictiveness",0.632419318600049,0.0525615656216468,0.529400543010583,0.735438094189515,NA
"6","7_bAb_pnabID50_D57","17,18,19",TRUE,"Predictiveness",0.649569403979276,0.0509686713059605,0.549672643879733,0.749466164078818,NA
"7","8_bAb_pnabID80_D57","20,21,22",TRUE,"Predictiveness",0.671266265727325,0.0527871487730246,0.567805355285639,0.774727176169011,NA
"8","9_bAb_lnabMN50_D57","23,24,25",TRUE,"Predictiveness",0.595692773709139,0.0501747487876257,0.497352073152048,0.69403347426623,NA
"9","10_bAb_combScores_D57","13,14,15,16,17,18,19",TRUE,"Predictiveness",0.646771811465004,0.0535028469513989,0.541908158369904,0.751635464560104,NA
"10","11_allMarkers_D57","13,14,15,16,20,21,22",TRUE,"Predictiveness",0.66658175373933,0.0538406384956434,0.561056041383228,0.772107466095432,NA
"11","12_allMarkers_combScores_D57","4",FALSE,"Predictiveness",0.660761072507835,0.0499821764433621,0.562797806809919,0.758724338205751,NA
"12","13_bAbSpike_D29","13,14,15,16,23,24,25",TRUE,"Predictiveness",0.644175374312962,0.0548231451314248,0.536723984336157,0.751626764289767,NA
"13","14_bAbRBD_D29","13,14,15,16,29,30,31,37,38",TRUE,"Predictiveness",0.622413596477253,0.0515747800249664,0.521328885117743,0.723498307836763,NA
"14","15_pnabID50_D29","13,14,15,16,17,18,19,20,21,22,23,24,25",TRUE,"Predictiveness",0.662553452918381,0.0544397137453684,0.555853574648789,0.769253331187973,NA
"15","16_pnabID80_D29","13,14,15,16,17,18,19,20,21,22,23,24,25,29,30,31,37,38",TRUE,"Predictiveness",0.659915244563256,0.0536013668932779,0.554858495930314,0.764971993196199,NA
"16","17_lnabMN50_D29","4,13",TRUE,"Predictiveness",0.650322879667211,0.0501406796049935,0.552048953481061,0.74859680585336,NA
"17","18_bAb_pnabID50_D29","5,14,15,16",TRUE,"Predictiveness",0.643589156985965,0.0489845151487426,0.547581271494273,0.739597042477657,NA
"18","19_bAb_pnabID80_D29","6,7,8,17,18,19",TRUE,"Predictiveness",0.677246193944794,0.0539344445437167,0.571536625112936,0.782955762776651,NA
"19","20_bAb_lnabMN50_D29","9,10,20,21,22",TRUE,"Predictiveness",0.687129047280335,0.0551645174799656,0.579008579795072,0.795249514765598,NA
"20","21_bAb_combScores_D29","11,12,23,24,25",TRUE,"Predictiveness",0.598660834068448,0.050161317101346,0.500346459132716,0.696975209004179,NA
"21","22_allMarkers_D29","4,5,6,7,8,13,14,15,16,17,18,19",TRUE,"Predictiveness",0.670122053991558,0.0538671802361673,0.564544320779942,0.775699787203173,NA
"22","23_allMarkers_combScores_D29","5",FALSE,"Predictiveness",0.654064207441283,0.0459944504228185,0.563916741123846,0.74421167375872,NA
"23","24_bAbSpike_D29_D57","4,5,9,10,13,14,15,16,20,21,22",TRUE,"Predictiveness",0.683621152337147,0.0543433812807269,0.577110082228795,0.7901322224455,NA
"24","25_bAbRBD_D29_D57","4,5,11,12,13,14,15,16,23,24,25",TRUE,"Predictiveness",0.636060153620132,0.049285482815299,0.539462382341478,0.732657924898785,NA
"25","26_pnabID50_D29_D57","4,5,13,14,15,16,32,33,34,39,40",TRUE,"Predictiveness",0.655839426034739,0.0529425722389838,0.552073891197421,0.759604960872057,NA
"26","27_pnabID80_D29_D57","4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",TRUE,"Predictiveness",0.685213272868864,0.0554946657575895,0.5764457266499,0.793980819087827,NA
"27","28_lnabMN50_D29_D57","4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,32,33,34,39,40",TRUE,"Predictiveness",0.686072258873011,0.0542555889692868,0.5797332585332,0.792411259212822,NA
"28","29_bAb_pnabID50_D29_D57","6,7,8",TRUE,"Predictiveness",0.677746374209141,0.0517350405934703,0.576347557907222,0.779145190511061,NA
"29","30_bAb_pnabID80_D29_D57","9,10",TRUE,"Predictiveness",0.656412299219276,0.049622317290382,0.559154344500708,0.753670253937844,NA
"30","31_bAb_lnabMN50_D29_D57","11,12",TRUE,"Predictiveness",0.618278249671428,0.0514397798527328,0.517458133787402,0.719098365555453,NA
"31","32_bAb_combScores_D29_D57","4,5,6,7,8",TRUE,"Predictiveness",0.662994523787412,0.0489135842914948,0.567125660221318,0.758863387353506,NA
"32","33_allMarkers_D29_D57","4,5,9,10",TRUE,"Predictiveness",0.663112681069469,0.0495088901507284,0.566077039459492,0.760148322679447,NA
"33","34_allMarkers_combScores_D29_D57","4,5,11,12",TRUE,"Predictiveness",0.66005186939553,0.0466680440306488,0.568584183866529,0.751519554924531,NA
"34","Day57bindSpike","31",FALSE,"Predictiveness",0.637505199704644,0.0504675791162846,0.538590562249801,0.736419837159488,NA
"35","Day57bindRBD","34",FALSE,"Predictiveness",0.649515443826249,0.0481499999676372,0.555143178034075,0.743887709618423,NA
"36","Day57pseudoneutid50","28",FALSE,"Predictiveness",0.661833451373905,0.0474271410833861,0.568877962960769,0.754788939787042,NA
"37","Delta57overBpseudoneutid50_2fold","37",FALSE,"Predictiveness",0.627290681472402,0.0513720815049565,0.526603251911831,0.727978111032973,NA
"38","Delta57overBpseudoneutid50_4fold","39",FALSE,"Predictiveness",0.659963999900644,0.0529278508234962,0.556227318507483,0.763700681293805,NA
"39","Day57pseudoneutid80","35",FALSE,"Predictiveness",0.664503770579796,0.0527740918021587,0.561068451330754,0.767939089828837,NA
"40","Delta57overBpseudoneutid80_4fold","38",FALSE,"Predictiveness",0.603467934689724,0.039086780938669,0.526859251778326,0.680076617601122,NA
"41","Day57liveneutmn50","40",FALSE,"Predictiveness",0.604052526544549,0.0394328128066713,0.526765633634364,0.681339419454735,NA
"42","Delta57overBliveneutmn50_4fold","36",FALSE,"Predictiveness",0.60032341172608,0.0452601740141312,0.511615100724368,0.689031722727793,NA
"43","Day29bindSpike","29",FALSE,"Predictiveness",0.624099833259709,0.051058311969681,0.524027380687724,0.724172285831694,NA
"44","Day29bindRBD","32",FALSE,"Predictiveness",0.65320828608754,0.0499580965981175,0.555292216019057,0.751124356156024,NA
"45","Delta29overBbindRBD_2fold","26",FALSE,"Predictiveness",0.660088695867911,0.0488699869931445,0.564305281436407,0.755872110299415,NA
"46","Delta29overBbindRBD_4fold","30",FALSE,"Predictiveness",0.602727513427034,0.037018640826974,0.53017231064954,0.675282716204527,NA
"47","Day29pseudoneutid50","33",FALSE,"Predictiveness",0.603474722820365,0.0383936028842926,0.528224643930418,0.678724801710311,NA
"48","Delta29overBpseudoneutid50_2fold","27",FALSE,"Predictiveness",0.601624753383917,0.0395681175878521,0.524072667975681,0.679176838792152,NA
"49","Delta29overBpseudoneutid50_4fold","14",FALSE,"Predictiveness",0.629624477487311,0.0519158697857089,0.527871242481251,0.731377712493372,NA
"50","Day29pseudoneutid80","13",FALSE,"Predictiveness",0.6365121288923,0.0496525073740878,0.539195002696979,0.733829255087622,NA
"51","Delta29overBpseudoneutid80_2fold","23",FALSE,"Predictiveness",0.579738688531119,0.0446878973216919,0.492152019235779,0.66732535782646,NA
"52","Delta29overBpseudoneutid80_4fold","17",FALSE,"Predictiveness",0.639610797116416,0.0507081112277296,0.540224725386015,0.738996868846817,NA
"53","Day29liveneutmn50","20",FALSE,"Predictiveness",0.641021629780712,0.0509546665246669,0.541152318548117,0.740890941013308,NA
"54","Delta29overBliveneutmn50_2fold","5",FALSE,"Predictiveness",0.654064207441283,0.0459944504228185,0.563916741123846,0.74421167375872,NA
"55","Delta29overBliveneutmn50_4fold","4",FALSE,"Predictiveness",0.660761072507835,0.0499821764433621,0.562797806809919,0.758724338205751,NA
"56","comb_PC1_d57","11",FALSE,"Predictiveness",0.612508543140011,0.0465887164875205,0.521196336738524,0.703820749541499,NA
"57","comb_PC2_d57","6",FALSE,"Predictiveness",0.666120468575085,0.0501103480417821,0.567905991160424,0.764334945989745,NA
"58","comb_maxsig.div.score_d57","9",FALSE,"Predictiveness",0.656882070231841,0.0495873655000214,0.559692619763575,0.754071520700107,NA
"59","comb_PC1_d29","15",FALSE,"Predictiveness",0.608735896980963,0.0397086586771271,0.5309083560994,0.686563437862526,NA
"60","comb_PC2_d29","16",FALSE,"Predictiveness",0.601900282618103,0.0393105410945673,0.524853037859969,0.678947527376236,NA
"61","comb_maxsig.div.score_d29","24",FALSE,"Predictiveness",0.604292751521305,0.0499219196185604,0.506447587029823,0.702137916012787,NA
"62","comb_PC1_d57_d29","25",FALSE,"Predictiveness",0.587604214297141,0.0461806067458403,0.497091888291087,0.678116540303195,NA
"63","comb_PC2_d57_d29","18",FALSE,"Predictiveness",0.601168506267424,0.040172529032587,0.522431796195664,0.679905216339184,NA
"64","comb_maxsig.div.score_d57_d29","19",FALSE,"Predictiveness",0.65136320941906,0.0510898376109672,0.551228967725564,0.751497451112556,NA
"65","comb_nlPCA1_d57","21",FALSE,"Predictiveness",0.671894943085629,0.0528665418488593,0.568278425074685,0.775511461096572,NA
"66","comb_nlPCA2_d57","22",FALSE,"Predictiveness",0.596295497044125,0.0464379965938548,0.505278696205976,0.687312297882274,NA
"67","comb_nlPCA1_d29","12",FALSE,"Predictiveness",0.608866567747163,0.0396441059632109,0.53116554785998,0.686567587634346,NA
"68","comb_nlPCA2_d29","7",FALSE,"Predictiveness",0.608661989120199,0.0394767805654175,0.53128892098639,0.686035057254008,NA
"69","comb_nlPCA1_d57_d29","8",FALSE,"Predictiveness",0.60899719606948,0.0394114289019485,0.5317522148424,0.68624217729656,NA
"70","comb_nlPCA2_d57_d29","10",FALSE,"Predictiveness",0.601693136191522,0.0384891164404137,0.526255854171543,0.677130418211501,NA
